date,park_name,country,latitude,longitude,species_targeted,incident_type,moon_phase
2026-03-22,Kaziranga National Park,India,26.59316,93.08801,Asian Elephant,Snare Discovered,New Moon
2026-03-22,Kruger National Park,South Africa,-24.06403,31.67419,African Elephant,Snare Discovered,New Moon
2026-03-22,Kruger National Park,South Africa,-24.22106,31.24617,White Rhino,Gunshots Reported,New Moon
2026-03-21,Kruger National Park,South Africa,-24.16889,31.58569,White Rhino,Footprints/Tracks,New Moon
2026-03-21,Kaziranga National Park,India,26.56905,93.13999,Indian Rhino,Snare Discovered,New Moon
2026-03-21,Kaziranga National Park,India,26.54985,93.08912,Asian Elephant,Footprints/Tracks,New Moon
2026-03-21,Kruger National Park,South Africa,-23.93332,31.32204,Pangolin,Snare Discovered,New Moon
2026-03-20,Kaziranga National Park,India,26.61662,93.14772,Indian Rhino,Footprints/Tracks,Last Quarter
2026-03-20,Kruger National Park,South Africa,-24.10484,31.39395,African Elephant,Snare Discovered,Last Quarter
2026-03-20,Kruger National Park,South Africa,-23.85029,31.77782,White Rhino,Gunshots Reported,Last Quarter
2026-03-20,Kaziranga National Park,India,26.50725,93.17156,Asian Elephant,Snare Discovered,Last Quarter
2026-03-20,Kaziranga National Park,India,26.5191,93.20596,Asian Elephant,Snare Discovered,Last Quarter
2026-03-19,Kruger National Park,South Africa,-23.88493,31.66215,Pangolin,Gunshots Reported,Last Quarter
2026-03-19,Kaziranga National Park,India,26.49543,93.13008,Bengal Tiger,Snare Discovered,Last Quarter
2026-03-19,Kaziranga National Park,India,26.59788,93.13247,Bengal Tiger,Footprints/Tracks,Last Quarter
2026-03-18,Kaziranga National Park,India,26.50775,93.16623,Indian Rhino,Snare Discovered,Last Quarter
2026-03-18,Kaziranga National Park,India,26.5142,93.1229,Bengal Tiger,Snare Discovered,Last Quarter
2026-03-17,Kaziranga National Park,India,26.57417,93.20205,Asian Elephant,Carcass Found,Last Quarter
2026-03-17,Bandipur Tiger Reserve,India,11.66991,76.59205,Indian Leopard,Snare Discovered,Last Quarter
2026-03-16,Kruger National Park,South Africa,-24.05025,31.40586,African Elephant,Snare Discovered,Last Quarter
2026-03-16,Kaziranga National Park,India,26.57772,93.18322,Asian Elephant,Carcass Found,Last Quarter
2026-03-15,Kaziranga National Park,India,26.61152,93.20076,Bengal Tiger,Snare Discovered,Last Quarter
2026-03-15,Kruger National Park,South Africa,-23.95356,31.68583,Pangolin,Snare Discovered,Last Quarter
2026-03-15,Kruger National Park,South Africa,-24.17799,31.63358,African Elephant,Snare Discovered,Last Quarter
2026-03-15,Kruger National Park,South Africa,-23.80153,31.6336,Pangolin,Footprints/Tracks,Last Quarter
2026-03-14,Jim Corbett National Park,India,29.54927,78.82678,Bengal Tiger,Snare Discovered,Last Quarter
2026-03-14,Kruger National Park,South Africa,-24.13645,31.76538,African Elephant,Gunshots Reported,Last Quarter
2026-03-14,Serengeti National Park,Tanzania,-2.51891,35.07908,African Elephant,Gunshots Reported,Last Quarter
2026-03-14,Kaziranga National Park,India,26.66944,93.16533,Indian Rhino,Snare Discovered,Last Quarter
2026-03-14,Kruger National Park,South Africa,-23.9858,31.64516,African Elephant,Snare Discovered,Last Quarter
2026-03-14,Kaziranga National Park,India,26.58904,93.20378,Asian Elephant,Footprints/Tracks,Last Quarter
2026-03-14,Kaziranga National Park,India,26.46506,93.12468,Indian Rhino,Snare Discovered,Last Quarter
2026-03-13,Kaziranga National Park,India,26.52894,93.19515,Asian Elephant,Snare Discovered,Last Quarter
2026-03-13,Bandipur Tiger Reserve,India,11.61319,76.66597,Indian Leopard,Gunshots Reported,Last Quarter
2026-03-13,Kruger National Park,South Africa,-23.98495,31.61491,African Elephant,Snare Discovered,Last Quarter
2026-03-12,Kruger National Park,South Africa,-23.95899,31.49047,Pangolin,Illegal Camp Suspicion,Last Quarter
2026-03-12,Kruger National Park,South Africa,-23.89597,31.71133,White Rhino,Gunshots Reported,Last Quarter
2026-03-12,Serengeti National Park,Tanzania,-2.48334,34.82532,African Lion,Gunshots Reported,Last Quarter
2026-03-12,Bandipur Tiger Reserve,India,11.66555,76.6868,Bengal Tiger,Snare Discovered,Last Quarter
2026-03-12,Kruger National Park,South Africa,-24.03618,31.60581,African Elephant,Carcass Found,Last Quarter
2026-03-11,Kaziranga National Park,India,26.57877,93.20425,Bengal Tiger,Gunshots Reported,Full Moon
2026-03-11,Kruger National Park,South Africa,-24.0206,31.44227,Pangolin,Snare Discovered,Full Moon
2026-03-11,Kruger National Park,South Africa,-23.90238,31.6378,African Elephant,Snare Discovered,Full Moon
2026-03-11,Kruger National Park,South Africa,-23.90323,31.57237,White Rhino,Snare Discovered,Full Moon
2026-03-11,Kruger National Park,South Africa,-24.21379,31.63723,White Rhino,Gunshots Reported,Full Moon
2026-03-11,Kruger National Park,South Africa,-23.9464,31.44356,Pangolin,Snare Discovered,Full Moon
2026-03-10,Jim Corbett National Park,India,29.50647,78.73495,Asian Elephant,Gunshots Reported,Full Moon
2026-03-10,Jim Corbett National Park,India,29.48849,78.64749,Asian Elephant,Snare Discovered,Full Moon
2026-03-10,Kaziranga National Park,India,26.58195,93.1869,Indian Rhino,Gunshots Reported,Full Moon
2026-03-10,Kaziranga National Park,India,26.55724,93.22138,Asian Elephant,Snare Discovered,Full Moon
2026-03-09,Bandipur Tiger Reserve,India,11.65427,76.60552,Bengal Tiger,Gunshots Reported,Full Moon
2026-03-09,Kaziranga National Park,India,26.56924,93.03679,Indian Rhino,Snare Discovered,Full Moon
2026-03-09,Kaziranga National Park,India,26.53902,93.17359,Asian Elephant,Gunshots Reported,Full Moon
2026-03-09,Kruger National Park,South Africa,-24.17399,31.34168,African Elephant,Snare Discovered,Full Moon
2026-03-09,Kaziranga National Park,India,26.57828,93.17808,Bengal Tiger,Gunshots Reported,Full Moon
2026-03-09,Kaziranga National Park,India,26.56725,93.20956,Asian Elephant,Carcass Found,Full Moon
2026-03-08,Jim Corbett National Park,India,29.51695,78.70579,Asian Elephant,Gunshots Reported,Full Moon
2026-03-08,Kaziranga National Park,India,26.51751,93.17804,Bengal Tiger,Gunshots Reported,Full Moon
2026-03-08,Kruger National Park,South Africa,-23.94471,31.80395,White Rhino,Gunshots Reported,Full Moon
2026-03-08,Kaziranga National Park,India,26.67321,93.19868,Indian Rhino,Gunshots Reported,Full Moon
2026-03-08,Kruger National Park,South Africa,-23.94993,31.77701,African Elephant,Gunshots Reported,Full Moon
2026-03-07,Kaziranga National Park,India,26.58394,93.25789,Bengal Tiger,Footprints/Tracks,First Quarter
2026-03-07,Kruger National Park,South Africa,-23.94665,31.59013,Pangolin,Footprints/Tracks,First Quarter
2026-03-07,Kruger National Park,South Africa,-23.64851,31.71084,Pangolin,Snare Discovered,First Quarter
2026-03-07,Kaziranga National Park,India,26.52992,93.20041,Asian Elephant,Footprints/Tracks,First Quarter
2026-03-06,Kruger National Park,South Africa,-23.90985,31.60297,Pangolin,Illegal Camp Suspicion,First Quarter
2026-03-06,Kaziranga National Park,India,26.53334,93.17165,Indian Rhino,Gunshots Reported,First Quarter
2026-03-06,Kaziranga National Park,India,26.60345,93.25324,Indian Rhino,Gunshots Reported,First Quarter
2026-03-06,Kruger National Park,South Africa,-23.83651,31.52504,African Elephant,Illegal Camp Suspicion,First Quarter
2026-03-05,Kruger National Park,South Africa,-24.01371,31.55313,Pangolin,Snare Discovered,First Quarter
2026-03-05,Kaziranga National Park,India,26.67808,93.06992,Asian Elephant,Snare Discovered,First Quarter
2026-03-04,Kaziranga National Park,India,26.51647,93.13187,Indian Rhino,Snare Discovered,First Quarter
2026-03-04,Kruger National Park,South Africa,-23.99732,31.53409,White Rhino,Snare Discovered,First Quarter
2026-03-04,Kaziranga National Park,India,26.55858,93.21161,Indian Rhino,Illegal Camp Suspicion,First Quarter
2026-03-03,Kaziranga National Park,India,26.63942,93.25414,Indian Rhino,Snare Discovered,First Quarter
2026-03-03,Kruger National Park,South Africa,-24.05231,31.76728,Pangolin,Carcass Found,First Quarter
2026-03-03,Kaziranga National Park,India,26.4886,93.19343,Bengal Tiger,Footprints/Tracks,First Quarter
2026-03-03,Bandipur Tiger Reserve,India,11.63233,76.64074,Asian Elephant,Snare Discovered,First Quarter
2026-03-02,Kruger National Park,South Africa,-23.93739,31.65626,African Elephant,Carcass Found,First Quarter
2026-03-02,Kruger National Park,South Africa,-24.1588,31.41385,African Elephant,Snare Discovered,First Quarter
2026-03-02,Kaziranga National Park,India,26.51078,93.11983,Asian Elephant,Snare Discovered,First Quarter
2026-03-02,Kaziranga National Park,India,26.5688,93.21689,Indian Rhino,Snare Discovered,First Quarter
2026-03-02,Kaziranga National Park,India,26.53419,93.11889,Bengal Tiger,Snare Discovered,First Quarter
2026-03-01,Kaziranga National Park,India,26.52381,93.22562,Asian Elephant,Snare Discovered,First Quarter
2026-03-01,Kaziranga National Park,India,26.57148,93.17229,Bengal Tiger,Snare Discovered,First Quarter
2026-03-01,Kruger National Park,South Africa,-24.01252,31.5451,African Elephant,Gunshots Reported,First Quarter
2026-03-01,Kaziranga National Park,India,26.55925,93.21263,Indian Rhino,Snare Discovered,First Quarter
2026-02-28,Kaziranga National Park,India,26.63151,93.12807,Asian Elephant,Snare Discovered,First Quarter
2026-02-28,Kaziranga National Park,India,26.52078,93.22561,Asian Elephant,Carcass Found,First Quarter
2026-02-28,Kaziranga National Park,India,26.55253,93.23284,Bengal Tiger,Illegal Camp Suspicion,First Quarter
2026-02-28,Kruger National Park,South Africa,-24.0887,31.83551,African Elephant,Snare Discovered,First Quarter
2026-02-28,Kruger National Park,South Africa,-24.23287,31.54736,White Rhino,Illegal Camp Suspicion,First Quarter
2026-02-28,Kruger National Park,South Africa,-24.13743,31.53496,White Rhino,Snare Discovered,First Quarter
2026-02-27,Serengeti National Park,Tanzania,-2.31733,34.95066,African Elephant,Carcass Found,First Quarter
2026-02-27,Kruger National Park,South Africa,-23.95858,31.46605,White Rhino,Illegal Camp Suspicion,First Quarter
2026-02-27,Kaziranga National Park,India,26.54143,93.18084,Bengal Tiger,Snare Discovered,First Quarter
2026-02-27,Kaziranga National Park,India,26.64876,93.19384,Bengal Tiger,Gunshots Reported,First Quarter
2026-02-26,Kaziranga National Park,India,26.61748,93.19004,Bengal Tiger,Snare Discovered,First Quarter
2026-02-26,Kaziranga National Park,India,26.54821,93.19434,Bengal Tiger,Illegal Camp Suspicion,First Quarter
2026-02-26,Kruger National Park,South Africa,-23.91081,31.63185,African Elephant,Snare Discovered,First Quarter
2026-02-26,Kruger National Park,South Africa,-24.07627,31.66862,African Elephant,Footprints/Tracks,First Quarter
2026-02-26,Kruger National Park,South Africa,-23.90191,31.45615,Pangolin,Snare Discovered,First Quarter
2026-02-25,Kaziranga National Park,India,26.57067,93.31359,Bengal Tiger,Snare Discovered,New Moon
2026-02-25,Kruger National Park,South Africa,-23.73473,31.44238,African Elephant,Snare Discovered,New Moon
2026-02-25,Kruger National Park,South Africa,-23.77198,31.45923,White Rhino,Carcass Found,New Moon
2026-02-25,Kruger National Park,South Africa,-23.84116,31.6882,White Rhino,Gunshots Reported,New Moon
2026-02-25,Kruger National Park,South Africa,-23.85254,31.70028,Pangolin,Gunshots Reported,New Moon
2026-02-25,Kruger National Park,South Africa,-24.06764,31.74632,Pangolin,Gunshots Reported,New Moon
2026-02-25,Kaziranga National Park,India,26.54346,93.16856,Indian Rhino,Footprints/Tracks,New Moon
2026-02-25,Jim Corbett National Park,India,29.51917,78.77868,Bengal Tiger,Footprints/Tracks,New Moon
2026-02-25,Kaziranga National Park,India,26.60844,93.15568,Asian Elephant,Snare Discovered,New Moon
2026-02-25,Kruger National Park,South Africa,-24.13573,31.49466,Pangolin,Snare Discovered,New Moon
2026-02-25,Kruger National Park,South Africa,-23.7298,31.46249,African Elephant,Snare Discovered,New Moon
2026-02-24,Kruger National Park,South Africa,-23.64987,31.46041,White Rhino,Snare Discovered,New Moon
2026-02-24,Kruger National Park,South Africa,-24.03119,31.55116,African Elephant,Footprints/Tracks,New Moon
2026-02-24,Kruger National Park,South Africa,-23.97453,31.6416,Pangolin,Carcass Found,New Moon
2026-02-24,Kaziranga National Park,India,26.55474,93.17549,Asian Elephant,Gunshots Reported,New Moon
2026-02-24,Kruger National Park,South Africa,-23.94413,31.6048,White Rhino,Gunshots Reported,New Moon
2026-02-23,Kruger National Park,South Africa,-24.01303,31.61048,African Elephant,Carcass Found,New Moon
2026-02-23,Kruger National Park,South Africa,-23.82846,31.74855,White Rhino,Footprints/Tracks,New Moon
2026-02-23,Serengeti National Park,Tanzania,-2.29592,34.90234,Black Rhino,Footprints/Tracks,New Moon
2026-02-23,Kaziranga National Park,India,26.65802,93.25713,Asian Elephant,Illegal Camp Suspicion,New Moon
2026-02-22,Kruger National Park,South Africa,-23.96939,31.3842,White Rhino,Gunshots Reported,New Moon
2026-02-22,Kruger National Park,South Africa,-23.89883,31.56407,Pangolin,Gunshots Reported,New Moon
2026-02-22,Kaziranga National Park,India,26.58255,93.14317,Bengal Tiger,Snare Discovered,New Moon
2026-02-22,Kruger National Park,South Africa,-23.98716,31.34777,Pangolin,Carcass Found,New Moon
2026-02-22,Serengeti National Park,Tanzania,-2.49088,34.69638,African Elephant,Gunshots Reported,New Moon
2026-02-22,Kruger National Park,South Africa,-23.92693,31.53846,White Rhino,Illegal Camp Suspicion,New Moon
2026-02-21,Bandipur Tiger Reserve,India,11.72811,76.63055,Asian Elephant,Footprints/Tracks,New Moon
2026-02-21,Kruger National Park,South Africa,-23.71691,31.40365,Pangolin,Carcass Found,New Moon
2026-02-21,Kruger National Park,South Africa,-24.01453,31.64167,Pangolin,Snare Discovered,New Moon
2026-02-21,Kaziranga National Park,India,26.48109,93.09713,Indian Rhino,Gunshots Reported,New Moon
2026-02-21,Kruger National Park,South Africa,-23.97481,31.45479,Pangolin,Footprints/Tracks,New Moon
2026-02-20,Kaziranga National Park,India,26.58286,93.25101,Asian Elephant,Snare Discovered,New Moon
2026-02-20,Serengeti National Park,Tanzania,-2.28598,34.75067,African Elephant,Gunshots Reported,New Moon
2026-02-20,Kaziranga National Park,India,26.58366,93.19387,Indian Rhino,Gunshots Reported,New Moon
2026-02-20,Kaziranga National Park,India,26.55834,93.13783,Indian Rhino,Snare Discovered,New Moon
2026-02-20,Kaziranga National Park,India,26.56515,93.17114,Asian Elephant,Footprints/Tracks,New Moon
2026-02-20,Kruger National Park,South Africa,-24.04495,31.41695,White Rhino,Footprints/Tracks,New Moon
2026-02-19,Bandipur Tiger Reserve,India,11.6047,76.59926,Bengal Tiger,Snare Discovered,New Moon
2026-02-19,Kruger National Park,South Africa,-24.08762,31.57507,White Rhino,Gunshots Reported,New Moon
2026-02-18,Kaziranga National Park,India,26.54768,93.26118,Indian Rhino,Gunshots Reported,Last Quarter
2026-02-18,Kruger National Park,South Africa,-24.02782,31.38005,Pangolin,Snare Discovered,Last Quarter
2026-02-18,Kruger National Park,South Africa,-23.92581,31.49766,White Rhino,Snare Discovered,Last Quarter
2026-02-18,Kaziranga National Park,India,26.58153,93.14554,Asian Elephant,Gunshots Reported,Last Quarter
2026-02-18,Kruger National Park,South Africa,-23.98593,31.45428,Pangolin,Carcass Found,Last Quarter
2026-02-17,Kruger National Park,South Africa,-24.18204,31.75256,Pangolin,Footprints/Tracks,Last Quarter
2026-02-16,Kruger National Park,South Africa,-23.92078,31.57598,African Elephant,Snare Discovered,Last Quarter
2026-02-16,Kruger National Park,South Africa,-24.02923,31.53327,Pangolin,Footprints/Tracks,Last Quarter
2026-02-16,Kruger National Park,South Africa,-23.80928,31.73198,Pangolin,Snare Discovered,Last Quarter
2026-02-15,Serengeti National Park,Tanzania,-2.43756,35.02564,Black Rhino,Footprints/Tracks,Last Quarter
2026-02-15,Kaziranga National Park,India,26.58203,93.1406,Asian Elephant,Snare Discovered,Last Quarter
2026-02-15,Kruger National Park,South Africa,-23.79731,31.64557,African Elephant,Illegal Camp Suspicion,Last Quarter
2026-02-15,Jim Corbett National Park,India,29.50712,78.70965,Asian Elephant,Gunshots Reported,Last Quarter
2026-02-15,Kruger National Park,South Africa,-23.75759,31.55904,Pangolin,Snare Discovered,Last Quarter
2026-02-14,Kaziranga National Park,India,26.58264,93.22251,Bengal Tiger,Footprints/Tracks,Last Quarter
2026-02-14,Kaziranga National Park,India,26.54564,93.24071,Bengal Tiger,Snare Discovered,Last Quarter
2026-02-14,Kruger National Park,South Africa,-24.01529,31.71538,Pangolin,Gunshots Reported,Last Quarter
2026-02-14,Kruger National Park,South Africa,-23.82262,31.48948,Pangolin,Snare Discovered,Last Quarter
2026-02-14,Kruger National Park,South Africa,-24.19569,31.4962,White Rhino,Carcass Found,Last Quarter
2026-02-13,Kruger National Park,South Africa,-23.89521,31.54294,Pangolin,Snare Discovered,Last Quarter
2026-02-13,Kruger National Park,South Africa,-23.83158,31.58765,White Rhino,Illegal Camp Suspicion,Last Quarter
2026-02-13,Kaziranga National Park,India,26.6056,93.19238,Bengal Tiger,Snare Discovered,Last Quarter
2026-02-13,Kaziranga National Park,India,26.57688,93.23534,Asian Elephant,Footprints/Tracks,Last Quarter
2026-02-12,Kruger National Park,South Africa,-23.96762,31.20412,Pangolin,Gunshots Reported,Last Quarter
2026-02-12,Kruger National Park,South Africa,-24.10865,31.40446,African Elephant,Footprints/Tracks,Last Quarter
2026-02-11,Kaziranga National Park,India,26.52295,93.20515,Bengal Tiger,Footprints/Tracks,Last Quarter
2026-02-11,Kruger National Park,South Africa,-23.76762,31.48523,African Elephant,Carcass Found,Last Quarter
2026-02-11,Kruger National Park,South Africa,-23.89168,31.31734,Pangolin,Snare Discovered,Last Quarter
2026-02-11,Kaziranga National Park,India,26.64048,93.19511,Asian Elephant,Snare Discovered,Last Quarter
2026-02-11,Kaziranga National Park,India,26.53646,93.21661,Indian Rhino,Gunshots Reported,Last Quarter
2026-02-11,Kruger National Park,South Africa,-24.22664,31.77335,Pangolin,Illegal Camp Suspicion,Last Quarter
2026-02-10,Kruger National Park,South Africa,-23.78519,31.62402,Pangolin,Footprints/Tracks,Last Quarter
2026-02-10,Kaziranga National Park,India,26.50553,93.1451,Asian Elephant,Footprints/Tracks,Last Quarter
2026-02-10,Jim Corbett National Park,India,29.51559,78.80655,Bengal Tiger,Gunshots Reported,Last Quarter
2026-02-09,Kaziranga National Park,India,26.50032,93.14019,Bengal Tiger,Carcass Found,Full Moon
2026-02-09,Kruger National Park,South Africa,-23.79339,31.50031,African Elephant,Gunshots Reported,Full Moon
2026-02-09,Kaziranga National Park,India,26.53039,93.2971,Bengal Tiger,Carcass Found,Full Moon
2026-02-08,Kaziranga National Park,India,26.50391,93.1859,Bengal Tiger,Carcass Found,Full Moon
2026-02-08,Kruger National Park,South Africa,-23.98759,31.77697,Pangolin,Gunshots Reported,Full Moon
2026-02-08,Kruger National Park,South Africa,-23.80556,31.53322,African Elephant,Carcass Found,Full Moon
2026-02-08,Kruger National Park,South Africa,-24.13777,31.49449,Pangolin,Gunshots Reported,Full Moon
2026-02-08,Kruger National Park,South Africa,-23.99235,31.32457,Pangolin,Carcass Found,Full Moon
2026-02-07,Kaziranga National Park,India,26.59385,93.1749,Bengal Tiger,Gunshots Reported,Full Moon
2026-02-07,Serengeti National Park,Tanzania,-2.42458,34.85518,Black Rhino,Gunshots Reported,Full Moon
